intent_ball,0,0,-3.486,4.294,3.82,1.74
intent_ball,1,0,-4.962,3.809,3.71,1.74
intent_ball,2,0,-4.421,5.376,3.71,1.74
intent_ball,3,0,-4.928,4.662,3.71,1.74
swinging_strike,0,0,-0.898,2.355,3.72,1.73
hit_into_play,0,1,-0.055,1.518,3.72,1.73
foul,0,0,0.322,2.395,3.72,1.73
ball,0,1,-0.098,3.849,3.83,1.77
called_strike,1,1,-1.078,2.919,3.77,1.81
swinging_strike,1,2,-0.006,2.665,3.72,1.73
foul,0,0,-0.142,1.813,3.72,1.73
ball,0,1,1.226,2.544,3.83,1.73
swinging_strike,1,1,-0.368,3.217,3.72,1.73
foul,1,2,-0.241,2.249,3.72,1.73
ball,1,2,-1.685,1.591,3.77,1.73
ball,2,2,-2.047,3.078,3.87,1.73
ball,3,2,-1.331,3.299,3.8,1.73
ball,0,0,4.27,1.36,3.5,1.6
ball,0,0,-0.956,1.976,3.83,1.73
ball,1,0,-1.154,2.582,3.76,1.73
ball,2,0,-1.269,1.256,3.76,1.73
called_strike,3,0,-0.206,1.896,3.86,1.87
swinging_strike,3,1,0.295,2.16,3.72,1.73
foul,3,2,0.202,2.429,3.72,1.73
foul,3,2,-0.103,1.894,3.72,1.73
foul,3,2,0.004,2.718,3.72,1.73
swinging_strike,3,2,-0.572,1.45,3.72,1.73
ball,0,0,-1.621,2.203,3.75,1.75
hit_into_play,1,0,-0.827,2.226,3.73,1.75
ball,0,0,-0.943,1.595,3.81,1.75
called_strike,1,0,0.111,2.99,3.73,1.75
swinging_strike,1,1,-1.198,3.208,3.73,1.75
ball,1,2,0.755,1.493,3.65,1.75
ball,2,2,1.411,3.298,3.73,1.75
hit_into_play,3,2,-0.593,2.468,3.73,1.75
called_strike,0,0,-0.997,2.84,3.73,1.75
ball,0,1,-0.11,3.817,3.73,1.75
ball,1,1,-1.885,2.395,3.79,1.75
foul,2,1,0.144,1.964,3.73,1.75
foul_tip,2,2,-0.923,3.516,3.73,1.75
foul,0,0,-0.787,2.329,3.73,1.75
ball,0,1,-0.852,3.904,3.73,1.75
foul,1,1,0.529,3.535,3.73,1.75
foul,1,2,-0.563,3.05,3.73,1.75
ball,1,2,-1.521,1.15,3.73,1.75
called_strike,2,2,-0.734,1.914,3.73,1.75
foul,0,0,-0.381,2.108,3.73,1.75
called_strike,0,1,-0.763,3.236,3.69,1.75
ball,0,2,-1.239,1.61,3.73,1.75
ball,1,2,-0.858,1.045,3.62,1.75
ball,2,2,-0.781,1.191,3.53,1.75
hit_into_play,3,2,-0.036,2.285,3.73,1.75
ball,0,0,-1.823,3.238,3.76,1.73
hit_into_play_score,1,0,-0.477,2.008,3.72,1.73
ball,0,0,-1.036,2.508,3.72,1.73
ball,1,0,-1.303,3.428,3.72,1.73
ball,2,0,-0.284,4.161,3.72,1.73
hit_into_play,3,0,-0.306,2.577,3.72,1.73
swinging_strike,0,0,-0.772,3.3,3.72,1.73
called_strike,0,1,-0.766,1.763,3.72,1.73
ball,0,2,-0.501,1.536,3.72,1.73
hit_into_play_no_out,1,2,0.248,3.143,3.72,1.73
ball,0,0,-1.481,2.026,3.72,1.73
called_strike,1,0,-0.021,3.214,3.72,1.73
called_strike,1,1,-0.848,2.362,3.72,1.73
foul,1,2,0.358,1.589,3.72,1.73
swinging_strike,1,2,-1.292,2.492,3.72,1.73
called_strike,0,0,-0.011,2.603,3.76,1.75
called_strike,0,1,-0.238,2.161,3.74,1.75
foul,0,2,-0.96,2.038,3.74,1.75
foul_tip,0,2,-0.552,2.057,3.74,1.75
called_strike,0,0,-1.068,2.649,3.74,1.75
swinging_strike,0,1,-0.457,2.796,3.74,1.75
ball,0,2,-0.318,4.327,3.74,1.75
foul,1,2,0.283,1.65,3.74,1.75
foul,1,2,-0.729,2.167,3.74,1.75
hit_into_play,1,2,-0.847,1.393,3.74,1.75
called_strike,0,0,-0.08,2.989,3.74,1.75
ball,0,1,0.589,1.232,3.74,1.75
hit_into_play_no_out,1,1,-0.497,2.955,3.74,1.75
foul,0,0,-0.694,1.764,3.74,1.75
swinging_strike,0,1,-0.937,2.468,3.74,1.75
foul,0,2,-0.414,3.219,3.74,1.75
ball,0,2,-1.216,1.804,3.74,1.75
foul,1,2,-1.777,2.657,3.74,1.75
foul,1,2,1.085,2.596,3.74,1.75
hit_into_play_score,1,2,-1.367,2.692,3.74,1.75
swinging_strike,0,0,-0.325,1.48,3.74,1.75
ball,0,1,-0.845,1.329,3.82,1.75
foul,1,1,-0.115,2.686,3.74,1.75
ball,1,2,0.789,2.832,3.74,1.75
swinging_strike,2,2,-1.06,3.242,3.74,1.75
ball,0,0,0.547,3.97,3.57,1.75
swinging_strike,1,0,0.425,3.77,3.74,1.75
called_strike,1,1,0.395,2.626,3.86,1.75
ball,1,2,-1.5,0.91,3.79,1.82
hit_into_play,2,2,-0.435,1.394,3.74,1.75
hit_into_play_no_out,0,0,-0.779,2.193,3.73,1.74
ball,0,0,1.421,3.405,3.73,1.74
foul,1,0,-1.197,2.931,3.73,1.74
foul,1,1,-0.843,3.518,3.73,1.74
foul,1,2,0.246,3.123,3.73,1.74
ball,1,2,-2.205,3.013,3.73,1.74
ball,2,2,-1.524,2.497,3.73,1.74
ball,3,2,-1.943,2.974,3.73,1.74
hit_into_play_no_out,0,0,-1.188,2.168,3.73,1.74
hit_into_play,0,0,-0.12,2.187,3.73,1.74
called_strike,0,0,-1.214,1.869,3.83,1.9
called_strike,0,1,-1.053,2.593,3.83,1.68
ball,0,2,-1.662,3.197,3.83,1.83
ball,1,2,-1.857,-0.034,3.83,1.9
ball,2,2,-1.365,1.414,3.83,1.83
swinging_strike,3,2,-1.165,2.154,3.71,1.73
called_strike,0,0,-0.933,2.56,3.87,1.83
ball,0,1,-0.95,3.689,3.86,1.76
